schemaname,tablename,indexname,indexdef
"public","base_stations","ix_base_stations_amo_active","CREATE INDEX ix_base_stations_amo_active ON public.base_stations USING btree (amo_id, is_active)"
"public","base_stations","ix_base_stations_amo_id","CREATE INDEX ix_base_stations_amo_id ON public.base_stations USING btree (amo_id)"
"public","base_stations","ix_base_stations_amo_type","CREATE INDEX ix_base_stations_amo_type ON public.base_stations USING btree (amo_id, base_type)"
"public","base_stations","ix_base_stations_iata_code","CREATE INDEX ix_base_stations_iata_code ON public.base_stations USING btree (iata_code)"
"public","base_stations","ix_base_stations_icao_code","CREATE INDEX ix_base_stations_icao_code ON public.base_stations USING btree (icao_code)"
"public","base_stations","pk_base_stations","CREATE UNIQUE INDEX pk_base_stations ON public.base_stations USING btree (id)"
"public","base_stations","uq_base_stations_amo_code","CREATE UNIQUE INDEX uq_base_stations_amo_code ON public.base_stations USING btree (amo_id, code)"
"public","billing_audit_logs","ix_billing_audit_logs_amo_id","CREATE INDEX ix_billing_audit_logs_amo_id ON public.billing_audit_logs USING btree (amo_id)"
"public","billing_audit_logs","pk_billing_audit_logs","CREATE UNIQUE INDEX pk_billing_audit_logs ON public.billing_audit_logs USING btree (id)"
"public","billing_invoices","ix_billing_invoices_amo_id","CREATE INDEX ix_billing_invoices_amo_id ON public.billing_invoices USING btree (amo_id)"
"public","billing_invoices","ix_billing_invoices_issued_at","CREATE INDEX ix_billing_invoices_issued_at ON public.billing_invoices USING btree (issued_at)"
"public","billing_invoices","ix_billing_invoices_ledger_entry_id","CREATE INDEX ix_billing_invoices_ledger_entry_id ON public.billing_invoices USING btree (ledger_entry_id)"
"public","billing_invoices","ix_billing_invoices_license_id","CREATE INDEX ix_billing_invoices_license_id ON public.billing_invoices USING btree (license_id)"
"public","billing_invoices","ix_billing_invoices_status","CREATE INDEX ix_billing_invoices_status ON public.billing_invoices USING btree (status)"
"public","billing_invoices","pk_billing_invoices","CREATE UNIQUE INDEX pk_billing_invoices ON public.billing_invoices USING btree (id)"
"public","billing_invoices","uq_invoice_idempotency","CREATE UNIQUE INDEX uq_invoice_idempotency ON public.billing_invoices USING btree (amo_id, idempotency_key)"
"public","catalog_skus","ix_catalog_skus_code","CREATE UNIQUE INDEX ix_catalog_skus_code ON public.catalog_skus USING btree (code)"
"public","catalog_skus","ix_catalog_skus_is_active","CREATE INDEX ix_catalog_skus_is_active ON public.catalog_skus USING btree (is_active)"
"public","catalog_skus","ix_catalog_skus_term","CREATE INDEX ix_catalog_skus_term ON public.catalog_skus USING btree (term)"
"public","catalog_skus","pk_catalog_skus","CREATE UNIQUE INDEX pk_catalog_skus ON public.catalog_skus USING btree (id)"
"public","catalog_skus","uq_catalog_skus_code","CREATE UNIQUE INDEX uq_catalog_skus_code ON public.catalog_skus USING btree (code)"
"public","chat_messages","ix_chat_messages_amo_thread_created_at","CREATE INDEX ix_chat_messages_amo_thread_created_at ON public.chat_messages USING btree (amo_id, thread_id, created_at)"
"public","chat_messages","pk_chat_messages","CREATE UNIQUE INDEX pk_chat_messages ON public.chat_messages USING btree (id)"
"public","chat_messages","uq_chat_messages_sender_client_msg","CREATE UNIQUE INDEX uq_chat_messages_sender_client_msg ON public.chat_messages USING btree (sender_id, client_msg_id)"
"public","chat_thread_members","pk_chat_thread_members","CREATE UNIQUE INDEX pk_chat_thread_members ON public.chat_thread_members USING btree (id)"
"public","chat_thread_members","uq_chat_thread_members_thread_user","CREATE UNIQUE INDEX uq_chat_thread_members_thread_user ON public.chat_thread_members USING btree (thread_id, user_id)"
"public","chat_threads","pk_chat_threads","CREATE UNIQUE INDEX pk_chat_threads ON public.chat_threads USING btree (id)"
"public","compliance_event_ledger","ix_compliance_event_ledger_amo_entity_occurred","CREATE INDEX ix_compliance_event_ledger_amo_entity_occurred ON public.compliance_event_ledger USING btree (amo_id, entity_type, entity_id, occurred_at)"
"public","compliance_event_ledger","ix_compliance_event_ledger_amo_occurred","CREATE INDEX ix_compliance_event_ledger_amo_occurred ON public.compliance_event_ledger USING btree (amo_id, occurred_at)"
